,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
8291,58d6cb556e28ed809e02667c179f3cce6656faed,2018-03-04 16:27:46,42.080165,-70.62221,470.0,9082447.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1426_b71a5907-9a19-4dd1-b0ce-9da71414263b.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1426_b71a5907-9a19-4dd1-b0ce-9da71414263b.jpg
8292,bbd8403d8ae4b5c026f276416cdf24d3cc63c36b,2018-03-04 16:27:51,42.08187,-70.62369833333331,478.0,9308484.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1427_37129292-661c-4b41-8e5e-d5b23371fcfa.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1427_37129292-661c-4b41-8e5e-d5b23371fcfa.jpg
8293,0df2e8ce8f3e5972f24f1244b2b03fd79ec6cd29,2018-03-04 16:27:53,42.0825966666667,-70.6243133333333,467.0,9312351.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1428_d152ce1c-6fe8-4ed0-bcdf-2fdd91251b98.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1428_d152ce1c-6fe8-4ed0-bcdf-2fdd91251b98.jpg
8294,6163c19e6a434cd5f5708b42f4632320b9cecccb,2018-03-04 16:27:57,42.08415,-70.6257816666667,475.0,8589006.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1429_4146a14a-b3c7-46e8-8282-85e611f3a39b.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1429_4146a14a-b3c7-46e8-8282-85e611f3a39b.jpg
8295,2c5585f4703d819cc2978816b34d962cae7baac5,2018-03-04 16:27:59,42.0847816666667,-70.6264483333333,467.0,9098233.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1430_256a06aa-e348-41b6-a5db-1c4a81293118.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1430_256a06aa-e348-41b6-a5db-1c4a81293118.jpg
8296,0701ce7001ba45009dd33098f860edbe984e04f4,2018-03-04 16:28:02,42.0857766666667,-70.627575,437.0,8899467.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1431_ba2d952f-7045-4011-9578-1d63ce9e9649.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1431_ba2d952f-7045-4011-9578-1d63ce9e9649.jpg
8297,f3acde8016f4855b46a855edbbe017dcd15a49a0,2018-03-04 16:28:05,42.086361666666704,-70.6282383333333,429.0,9082866.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1432_cf72b094-0a83-4e04-8f9d-a635c3971bba.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1432_cf72b094-0a83-4e04-8f9d-a635c3971bba.jpg
8298,ee53574c81125e1059166ba25c98eea256b76519,2018-03-04 16:28:07,42.087283333333296,-70.62923,422.0,9365764.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1433_e1eba3c0-10d8-4e8e-900b-19fba75d2b25.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1433_e1eba3c0-10d8-4e8e-900b-19fba75d2b25.jpg
8299,557d50b5bdf5d056dfa7b4ebf2e77840725e77f3,2018-03-04 16:28:12,42.088475,-70.6305133333333,404.0,9273900.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1434_195a7904-712c-42a7-a3d2-87a40da80ac3.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1434_195a7904-712c-42a7-a3d2-87a40da80ac3.jpg
8300,ddf14e4c625dd16fcd4220fff205b342bf44eab5,2018-03-04 16:28:15,42.089676666666705,-70.63168,400.0,9701509.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9082/614359/DSC_1435_54e2bede-b370-4177-8fef-4d3515528b50.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9082/614359/DSC_1435_54e2bede-b370-4177-8fef-4d3515528b50.jpg
