OPENSFM_TRACKS_VERSION_v1
3.jpg	19598	3411	0.467323	-0.297633	0.00173481	47	41	41
3.jpg	18900	4073	0.391877	-0.0698146	0.00244695	59	52	49
3.jpg	19533	2751	-0.0226963	-0.294656	0.00143018	99	102	105
3.jpg	19608	1100	0.124306	0.0113097	0.00102446	37	32	38
3.jpg	18799	1407	0.255115	-0.302567	0.00107817	79	71	68
3.jpg	20071	4231	-0.080392	-0.25465	0.00272465	42	46	56
3.jpg	19615	3580	-0.0134221	-0.0478527	0.00191252	57	59	61
3.jpg	19651	4790	-0.0498262	0.0152614	0.00726905	147	151	155
3.jpg	19790	3063	-0.0977471	-0.0600219	0.00156308	52	51	54
3.jpg	20024	2591	0.274426	0.0245013	0.00136102	54	58	60
3.jpg	19800	2360	0.372379	0.0302828	0.00129201	39	32	36
3.jpg	19058	482	0.405104	-0.190743	0.000938526	35	30	36
3.jpg	19896	3672	0.0681943	-0.290506	0.00197385	143	144	144
3.jpg	19599	2169	0.379719	-0.261309	0.00125296	137	135	134
3.jpg	19854	903	-0.0406267	-0.0243052	0.00099657	93	93	93
3.jpg	19015	4007	0.481284	0.0446344	0.00236143	31	22	24
3.jpg	19670	4558	-0.0479024	-0.0124045	0.00412733	42	42	42
3.jpg	18841	3785	0.222156	-0.253244	0.00207566	127	128	132
3.jpg	19768	3731	0.253016	-0.0312401	0.00202493	37	37	40
3.jpg	19994	2555	0.267967	0.0241961	0.00134692	57	56	63
3.jpg	19185	4832	0.447771	-0.160054	0.00897357	99	92	90
3.jpg	19843	3503	0.0806115	-0.00617895	0.00184382	41	42	46
3.jpg	18948	3246	0.353911	-0.0121189	0.00163377	88	93	97
3.jpg	20077	4523	-0.0141526	0.0108687	0.00388077	145	150	156
3.jpg	19789	2152	-0.0256558	-0.251008	0.00125076	120	118	106
3.jpg	18798	2894	0.391596	-0.276761	0.00149112	45	41	41
3.jpg	20094	2398	0.411082	0.00602463	0.00130081	48	43	49
3.jpg	19747	4838	0.156841	-0.0364435	0.00927764	138	138	127
3.jpg	18924	2193	0.267873	-0.136392	0.001258	73	67	65
3.jpg	19324	2362	0.389638	0.0162087	0.00129226	28	29	30
3.jpg	19504	1993	0.227912	-0.14138	0.00122035	66	59	53
3.jpg	19602	4676	-0.0883892	-0.0758726	0.00497819	98	101	103
3.jpg	19944	770	0.145024	-0.000337005	0.000977226	136	140	143
3.jpg	19094	4362	0.432361	-0.0947307	0.00306639	84	79	81
3.jpg	19125	1903	0.343593	-0.296837	0.00119798	67	63	58
3.jpg	19886	3983	0.281308	-0.0628829	0.0023338	143	142	140
3.jpg	19500	2338	0.1426	-0.313029	0.00128912	128	125	126
3.jpg	19590	2344	0.20878	0.00281069	0.00128986	27	29	31
3.jpg	19966	4915	0.0160379	-0.220419	0.0207247	55	47	44
3.jpg	18984	1078	0.434955	-0.0127329	0.00102102	28	29	33
3.jpg	20056	4572	-0.0497754	-0.302673	0.00418754	44	38	37
3.jpg	19027	3663	0.380474	0.0384844	0.00196916	28	26	29
3.jpg	19374	1234	0.44725	-0.0123631	0.00104749	34	34	39
3.jpg	19464	2273	0.372368	0.0156606	0.0012748	30	29	34
3.jpg	18860	4619	0.430313	-0.00361416	0.00464475	34	31	35
3.jpg	19057	3230	0.441192	0.0459178	0.00162907	125	117	113
3.jpg	19764	3396	0.258648	-0.0612471	0.0017264	56	48	44
3.jpg	18937	2429	0.336882	-0.270233	0.00130935	61	55	53
3.jpg	19376	2328	0.486028	-0.22096	0.00128755	47	41	41
3.jpg	19828	1727	-0.0957066	-0.121254	0.00115984	131	130	125
3.jpg	18904	2878	0.289222	-0.118604	0.00148277	78	68	67
3.jpg	19501	3439	0.157714	-0.0380132	0.00177087	140	138	122
3.jpg	19917	4885	-0.0594966	-0.0439387	0.0132191	26	28	26
3.jpg	19623	2036	0.158905	-0.199356	0.0012261	99	97	98
3.jpg	20134	2964	0.407831	-0.300887	0.0015225	107	105	106
3.jpg	19392	2065	0.218284	-0.256676	0.00123412	40	39	45
3.jpg	19396	347	0.309891	-0.285801	0.000921052	122	119	120
3.jpg	19031	4440	0.447036	-0.176497	0.00327154	19	19	25
3.jpg	19720	1756	0.23704	-0.135707	0.00116497	130	130	130
3.jpg	19655	4472	-0.104325	-0.114402	0.00351472	149	149	145
3.jpg	20049	845	0.0704944	-0.00717247	0.00098759	23	23	28
